0 1 2 3 1999-01 50
0 1 2 3 1999-02 60
0 1 2 3 1999-03 70
0 1 2 3 1999-04 80.5
0 1 2 3 1999-05 85.5
0 1 2 3 1999-06 90.3
0 1 2 3 1999-07 93.3
0 1 2 3 1999-08 93.6
0 1 2 3 1999-09 94.1
0 1 2 3 1999-10 95.8
0 1 2 3 1999-11 96.3
0 1 2 3 1999-12 97.6
0 1 2 3 2000-01 50
0 1 2 3 2000-02 60
0 1 2 3 2000-03 70
0 1 2 3 2000-04 80.5
0 1 2 3 2000-05 85.5
0 1 2 3 2000-06 90.3
0 1 2 3 2000-07 93.3
0 1 2 3 2000-08 93.6
0 1 2 3 2000-09 94.1
0 1 2 3 2000-10 95.8
0 1 2 3 2000-11 96.3
0 1 2 3 2000-12 97.6
0 1 2 3 2001-01 50
0 1 2 3 2001-02 60
0 1 2 3 2001-03 70
0 1 2 3 2001-04 80.5
0 1 2 3 2001-05 85.5
0 1 2 3 2001-06 90.3
0 1 2 3 2001-07 93.3
0 1 2 3 2001-08 93.6
0 1 2 3 2001-09 94.1
0 1 2 3 2001-10 95.8
0 1 2 3 2001-11 96.3
0 1 2 3 2001-12 98.6
0 1 2 3 2002-01 50
0 1 2 3 2002-02 60
0 1 2 3 2002-03 70
0 1 2 3 2002-04 80.5
0 1 2 3 2002-05 85.5
0 1 2 3 2002-06 90.3
0 1 2 3 2002-07 93.3
0 1 2 3 2002-08 93.6
0 1 2 3 2002-09 94.1
0 1 2 3 2002-10 95.8
0 1 2 3 2002-11 96.3
0 1 2 3 2002-12 99.6
0 1 2 3 2003-01 50
0 1 2 3 2003-02 60
0 1 2 3 2003-03 70
0 1 2 3 2003-04 80.5
0 1 2 3 2003-05 85.5
0 1 2 3 2003-06 90.3
0 1 2 3 2003-07 93.3
0 1 2 3 2003-08 93.6
0 1 2 3 2003-09 94.1
0 1 2 3 2003-10 95.8
0 1 2 3 2003-11 96.3
0 1 2 3 2003-12 100.6
